Technique,Description,Tags,Fields,Program,Resumen
Placemat consensus,"Esta técnica es muy sencilla de aplicar. Con esta técnica se puede alentar a los alumnos a resolver situaciones o problemas con los que nunca se han enfrentado.

1. Se hace una pregunta a los alumnos y cada uno escribe la respuesta.
1. Entonces los miembros del equipo ponen sus respuestas en común y anotan solo aquellas a las que han llegado a un consenso.
1. El profesor pregunta al portavoz cómo han llegado a este consenso y cuál es, también si han cometido errores.

Adaptado de: Colegio Ártica. (2018). Construimos nuestro propio aprendizaje.","consenso, cooperación, resolución de problemas, toma de decisiones, argumentación","Resolución de problemas y Retos, Cohesión y Cooperación",,"Técnica en la que cada miembro escribe una respuesta y el equipo consensúa una solución común. Sirve para promover participación individual, debate, consenso y resolución cooperativa de problemas."
Portfolio (dosier de aprendizaje),"El dosier de aprendizaje (portfolio, eportfolio o dosier digital) es una colección digital personal de información que describe e ilustra el aprendizaje de una persona, la experiencia profesional y sus metas aportando evidencias del aprendizaje y reflexiones sobre estas.

Las evidencias pueden incluir muestras de escritos, fotos, vídeos, trabajos de investigación, observaciones de profesorado y compañeros, y/o reflexiones.** El aspecto fundamental de un portfolio es la reflexión sobre las evidencias**, por qué se han seleccionado y qué se ha aprendido del proceso de desarrollar el dosier de aprendizaje (Guilana, S., 2009).

La estructura del dosier de aprendizaje debe quedar bien definida por el profesorado, de forma que los alumnos sepan con precisión lo que se espera de ellos. Una posible estructura podría ser:

1. **Portada**: refleja de forma creativa el trabajo.
1. **Introducción**: explicación del contexto y presentación del trabajo.
1. **Documents**: evidencias del trabajo con comentarios.
1. **Autoavaluación**: reflexión sobre el proceso.

Adaptado de: Liarte, R. (2015). El portfolio como herramienta de evaluación.","portfolio, evidencias, reflexión, autoevaluación, seguimiento","Evaluación Formativa y Retroalimentación, Pensamiento Crítico y Metacognición",,"Herramienta de recopilación de evidencias, producciones y reflexiones del aprendizaje. Sirve para documentar el proceso, seleccionar trabajos significativos, justificar aprendizajes y favorecer autoevaluación y seguimiento."
Pregunta el porqué,"La rutina de pensamiento """"pregunta el porqué"" "" se puede utilizar en cualquier momento del proceso de aprendizaje, ya sea al comienzo de un tema, durante el desarrollo de un tema o al final de un tema. Los pasos que se siguen en esta rutina son:

PROFESOR:

- Introducir el concepto o el hecho que se quiere estudiar. Esto puede ser a través de lecturas, presentaciones, vídeos o cualquier otra fuente de información.

- Pedir a los alumnos que se formulen preguntas del tipo """"¿por qué?"" "" para profundizar en los conceptos o los hechos que están estudiando. Esto puede ser de forma individual o en grupos.

- Proporcionar a los alumnos las fuentes de información o recursos necesarios para responder a sus preguntas. Esto puede incluir materiales de lectura, bases de datos, herramientas en línea, etc.

- Ayudar a los alumnos a formular sus preguntas de manera clara y concreta, con el fin de poder buscar las respuestas de forma efectiva.

- Revisar los resultados de la investigación de los alumnos y ayudarlos a interpretarlos.

ALUMNO:

- Formular preguntas del tipo """"¿por qué?"" "" para profundizar en los conceptos o los hechos que están estudiando.

- Utilizar las fuentes de información o recursos proporcionados por el profesor para buscar respuestas a las preguntas que se han formulado.

- Analizar las diferentes fuentes de información y elegir las que consideren más útiles para responder a las preguntas.

- Interpretar las respuestas que han encontrado y reflexionar sobre ellas.

- Presentar las respuestas encontradas al grupo o al profesor.","preguntas, investigación, pensamiento crítico, comprensión, reflexión","Procesamiento y Análisis de la información, Construcción de conocimiento, Pensamiento Crític y Metacognición, Cohesión y Cooperación, Comunicación y Creatividad",,"Rutina en la que el alumnado formula preguntas de “por qué” y busca respuestas mediante recursos o investigación. Sirve para profundizar en conceptos, desarrollar pensamiento crítico y mejorar la comprensión razonada."
Pregunta y responde,"Esta rutina de pensamiento implica que los alumnos se hagan una pregunta e intenten responderla utilizando los conocimientos que han adquirido. Esta rutina es útil para ayudar a los alumnos a comprender mejor los conceptos o los hechos que están estudiando, y también los ayuda a desarrollar habilidades de pensamiento crítico y reflexión. Para utilizar esta rutina, se puede seguir este proceso:

1. Escoge un concepto o un hecho que los alumnos tengan que comprender.
1. Haz una lista de preguntas que los alumnos tengan que responder para comprender el concepto o el hecho. Estas preguntas pueden ser del tipo """"¿qué?"" "", """"¿por qué?"" "", """"¿cómo?"" "", """"¿cuándo?"" "", """"¿dónde?"" "", etc.
1. Da a los alumnos el tiempo suficiente para responder a las preguntas de manera individual o en grupos.
1. Revisa las respuestas de los alumnos y proporciona *retroalimentación*. Puedes hacerlo de manera individual o con todo el equipo, dependiendo de las necesidades de los alumnos.","preguntas, comprensión, pensamiento crítico, feedback, evaluación formativa","Procesamiento y Análisis de la información, Pensamiento Crítico y Metacognición, Evaluación Formativa y Retroalimentación, Cohesión y Cooperación",,"Rutina en la que el alumnado responde preguntas sobre un concepto o hecho trabajado. Sirve para comprobar comprensión, promover pensamiento crítico, organizar ideas y proporcionar feedback formativo."
Proyectos de Aprendizaje-Servicio (ApS o ABS),"## ¿Qué es un proyecto de AS?

A veces al ApS se le denomina también **Aprendizaje basado en servicio** o ABS y puede ser considerado también un tipo de Aprendizaje basado en situaciones problematizadas (ABP).

El Centro Promotor de Aprendizaje Servicio lo define de la siguiente forma:


> El aprendizaje servicio es una propuesta educativa que combina procesos de aprendizaje y de servicio a la comunidad en un solo proyecto bien articulado en el cual los participantes se forman trabajando sobre necesidades reales del entorno con el objetivo de mejorarlo.


Los Proyectos de Aprendizaje Servicio (ApS) tienen dos componentes bien definidos que tienen que estar presentes en la misma proporción: nos referimos al aprendizaje que tiene que estar presente como motor del ApS, pero también al servicio a la sociedad que esto implica. Un proyecto solidario, por ejemplo, recogida de alimentos o juguetes, no es un auténtico ApS, ya que tienen una componente social, de servicio, pero no se ha desarrollado la componente del aprendizaje. Los ApS tienen que llevar siempre una parte educativa, que no viene solo por el hecho de desarrollar la actividad, sino que requiere una base docente.

Por ejemplo, si realizamos recogida de alimentos para entregar a una ONG o campaña contra el hambre, se podrían dar unas bases para el estudio de la pobreza, la distribución del dinero o factores laborales que facilitan un abandono del trabajo, integrándolo en el currículum de las Ciencias Sociales.

Si realizamos un proyecto de recogida de basura en el barrio, se tiene que dar un conocimiento que podría ser conocimientos de estadística para realizar un estudio de lo que la gente tira y relacionarlo con el consumo responsable, por ejemplo.

Resumiendo, podemos decir que **un ApS es una propuesta educativa que combina procesos de aprendizaje y de servicio a la comunidad en un solo proyecto bien articulado. Un proyecto en el cual los participantes se forman trabajando sobre necesidades reales de su entorno con el objetivo de mejorarlo** (Proyectos ApS del PFI).


## Principios del ApS
Los principios que rigen el Servicio comunitario son:

1. **Educación en valores**.
 Una acción educativa basada en la experiencia, la vivencia y la construcción de hábitos y valores.
1. **Participación activa y democrática**.
La participación activa del alumnado en un servicio que se lleva a cabo en beneficio de la comunidad.
1. **Respuesta a las necesidades sociales emergentes**.
La atención de necesidades reales y sentidas por la comunidad.
1. **Trabajo en red y corresponsabilitzación**.
 El trabajo en red de los diferentes agentes educativos de un territorio a partir de unos objetivos compartidos.
1. **Mejora constante**.
Indicadores que permitan realizar un seguimiento y elaborar propuestas de mejora.

(Documento marco del Servicio comunitario)

## Fases del proyecto


Para llevar a cabo el aprendizaje servicio hay cuatro grandes momentos que a la vez se dividen en tareas:

- **Fase 1: Aprendizaje**.
Es el momento formativo en el cual el alumno adquiere previamente conocimientos teóricos de carácter formal o no formal que permitirán llevar a cabo el servicio.
- **Fase 2: Planificación**.
 El grupo de aprendizaje diseña la actividad y conecta con los actores necesarios para su desarrollo.
- **Fase 3: Actividad**.
 Se lleva a cabo el servicio que se ha plantejado anteriormente. En función de la temática se tiene que tener en cuenta la logística, la infraestructura, los actores participantes, los materiales necesarios, etc.
- **Fase 4: Evaluación**.
Es el momento de analizar los resultados del servicio y reflexionar con el fin de mejorar.

(Wikipedia)

---

## Ejemplo
Creación de un huerto comunitario en un barrio con pocos espacios verdes y alta concentración de personas con dificultades económicas. El proyecto se dividiría en las siguientes fases:

1. Planificación:

   1. Se crearía un grupo de trabajo formado por estudiantes, docentes y miembros de la comunidad interesados en participar en el proyecto.
   1. Se buscarían espacios disponibles en el barrio donde poder instalar el huerto, ya sea en una parcela abandonada o en un patio de un edificio comunitario.
   1. Se establecerían acuerdos con entidades locales, como el Ayuntamiento o asociaciones de vecinos, para obtener apoyo logístico y económico.
   1. Se realizarían talleres de formación sobre jardinería y horticultura para todos los participantes, con la finalidad de dotarlos de las herramientas técnicas y conceptuales necesarias para llevar a cabo el proyecto.

1. Realización:

   1. Se dividiría el grupo de trabajo en diferentes equipos, con responsabilidades específicas como la preparación de la tierra, la siembra, el riego o el mantenimiento de las plantas.
   1. Se promovería la participación de la comunidad en las tareas del huerto, ya sea de forma puntual o como colaboradores regulares.
   1. Se organizarían charlas o talleres abiertos al público sobre los beneficios de la alimentación saludable y el uso de productos locales y ecológicos.
   1. Se establecerían acuerdos con tiendas o mercados del barrio para la venta de los productos del huerto, con el objetivo de financiar el proyecto y promover el consumo responsable.

1. Evaluación:

   1. Se realizaría un seguimiento de las tareas realizadas y de los resultados obtenidos, con el objetivo de detectar posibles problemas o dificultades y buscar soluciones.
   1. Se recogerían opiniones y sugerencias de los participantes y de la comunidad para mejorar el proyecto en futuras ediciones.
   1. Se realizarían estudios de viabilidad económica y social para evaluar los beneficios del proyecto para la comunidad.

1. Reflexión:

   1. Se realizarían reuniones de debate e intercambio de experiencias entre los participantes para reflexionar sobre las lecciones aprendidas durante el proyecto.
   1. Se promovería la difusión de los resultados y las conclusiones obtenidas, ya sea a través de las redes sociales o de la prensa local.
   1. Se buscarían posibles colaboraciones con otras iniciativas similares para extender el programa.","aprendizaje-servicio, comunidad, proyecto, reflexión, evaluación, cooperación","Procesamiento y Análisis de la información, Resolución de problemas y Retos, Pensamiento Crítico y Metacognición, Evaluación Formativa y Retroalimentación, Cohesión y Cooperación",,"Proyecto que combina aprendizaje curricular y servicio a la comunidad en una necesidad real del entorno. Sirve para formar al alumnado mediante acción social, reflexión, cooperación y evaluación de resultados."
Puente 3 - 2 - 1,"Esta rutina se realiza dos veces, una al empezar un tema y otra al acabarlo, de esta forma pueden reflexionar sobre su aprendizaje.

1. Los alumnos, antes de empezar la sesión docente, escriben 3 ideas o palabras sobre lo que les sugiere el tema, 2 preguntas y una analogía o metáfora, este último puede ser también una imagen.

1. Al acabar, vuelven a hacer lo mismo y comparan sus respuestas reflexionando cómo han cambiado sus ideas y por qué.

1. Después se comparten las conclusiones de cada uno con el resto de la clase.","conocimientos previos, cambio conceptual, metacognición, preguntas, analogía","Pensamiento Crítico y Metacognición, Activación de conocimientos previos",,"Rutina que se realiza antes y después de un tema con tres ideas, dos preguntas y una analogía. Sirve para activar conocimientos previos, observar cambios de pensamiento y favorecer la metacognición."
Quiz-Quiz-Trade (Intercambio de tarjetas),"## Descripción
Una estructura de Kagan muy dinámica para el repaso de contenidos.

## Funcionamiento
1. Cada alumno tiene una tarjeta con una pregunta y la respuesta al dorso.
2. Se mueven por el aula buscando un compañero.
3. El alumno A pregunta, el alumno B responde (A da feedback o pista si es necesario).
4. Se intercambian los roles.
5. Se intercambian las tarjetas y buscan un nuevo compañero.

## Objetivos
Repasar contenidos de forma lúdica e interactiva.","repaso, preguntas, feedback, juego, interacción","Evaluación Formativa y Retroalimentación, Activación de conocimientos previos, Pensamiento Crítico y Metacognición",,"Estructura de repaso en la que el alumnado se pregunta y responde con tarjetas, intercambiándolas después. Sirve para repasar contenidos de forma dinámica, recibir feedback inmediato y favorecer la interacción."
RallyRobin,"Se utiliza para actividades que se puedan realizar en tiempo corto, para responder a las preguntas en las que hay múltiples respuestas o donde sea necesario compartir una idea o una frase y en la que cada estudiante sea capaz de contribuir: Generar ideas (lluvia de ideas), repasar, realizar listados de elementos, realizar listados de procedimientos.
Por parejas, los estudiantes, comparten de forma oral.

1. El profesor propone un tema para el cual haya múltiples respuestas o soluciones y deja un tiempo para pensar individualmente.
1. Los estudiantes, por parejas, aportan alternativamente las respuestas verbalmente.

Durante esta estructura, cada uno de los estudiantes por turnos ofrece una respuesta para crear una lista oral y repiten las rondas. Cada estudiante ofrece diversas respuestas.

Fuentes:

- Clowes, G. (2011). The Essential 5: A Starting Point for Kagan Cooperative Learning
- Carolina, H. L. K., Tamara, O. L. M., & Wendy, S. (2016). Aprendizaje cooperativo en la universidad","lluvia de ideas, parejas, participación, comunicación, cooperación","Construcción de conocimiento, Pensamiento Crítico y Metacognición, Evaluación Formativa y Retroalimentación, Cohesión y Cooperación",,"Estructura cooperativa oral en parejas en la que se alternan respuestas breves sobre un tema. Sirve para generar ideas, repasar contenidos, asegurar participación y mejorar la comunicación."
Reloj de citas,"Con esta técnica se consigue que los alumnos se expliquen unos a otros aquello que se quiere.

La dinámica consiste en repartir un folio con un reloj con horas, pero sin manecillas o bien que cada uno realice el dibujo en un folio. 

1. Se dedican 5 minutos para que los alumnos se vayan citando con sus compañeros, con uno a cada hora, son, por tanto, 12 citas. 

1. Cuando el reparto esté hecho el profesor irá indicando a qué hora se encuentran (por ejemplo, la 1 de la mañana) y cada uno tendrá que reunirse con la cita que previamente ha reservado con un compañero para ese momento. Pasados unos minutos, el profesor pasará a la siguiente hora. 

1. A cada una de las horas el profesor indicará una pregunta que tendrán que resolver entre los dos, también se pueden explicar el uno al otro algún concepto que hayan leído antes.

1. Finalmente, si procede, se hace una puesta en común de todas las respuestas.

Adaptado de Orientacionandujar. (2017). Aprendizaje cooperativo el reloj de las citas.

---

**Explicación de la técnica:**



**Aplicación de la técnica:**","citas, parejas, comunicación, repaso, interacción","Activación de conocimientos previos, Resolución de problemas y Retos, Cohesión y Cooperación, Comunicación y Creatividad",Reloj de citas|https://reloj-citas.github.io/,"Dinámica en la que el alumnado concierta citas con compañeros para responder preguntas o explicarse conceptos. Sirve para fomentar interacción, repaso, comunicación entre iguales y movimiento organizado por el aula."
Repartir puntos,"Esta es una técnica para la **evaluación con calificación** donde intervienen el profesorado y los grupos de clase.

Cuando se pone una nota a un grupo, se le dan puntos que ellos mismos se reparten según el trabajo que han realizado. La norma es que todos tienen que tener notas diferentes.

Por ejemplo, si en un grupo de 4 se les pone un 7,5, entonces les damos 7,5 x 4 = 30 puntos para que se los repartan como quieran y nosotros les pondremos la nota que ellos nos digan. 

Esta técnica se utiliza con la Escala de valoración: Repartir puntos que tendrán que rellenar previamente a la corrección, de forma que las notas sean tan objetivas como sea posible.

Fuente:  Pérez-Pueyo, A. & Hortigüela, D. & Hernando, A. (2014)","calificación, coevaluación, autoevaluación, responsabilidad individual, grupo",Evaluación Formativa y Retroalimentación,,"Técnica de calificación en la que un grupo reparte entre sus miembros los puntos obtenidos según la aportación realizada. Sirve para promover responsabilidad individual, coevaluación y reflexión sobre el trabajo en equipo."
Revisa las consecuencias,"La rutina de pensamiento """"revisa las consecuencias"" "" es una técnica que se puede utilizar para hacer reflexionar a los alumnos sobre las implicaciones o las consecuencias de los conceptos o hechos que están estudiando. Esta rutina se puede utilizar tanto al principio de un tema, como a mediados o al final, dependiendo de las necesidades y los objetivos del aprendizaje.


Parte del profesor:

1. Proporciona a los alumnos información o conceptos sobre los que quieras que reflexionen sobre las consecuencias. Esto puede ser un texto, una imagen, una experiencia o cualquier otra cosa que se pueda utilizar para promover la reflexión.

1. Pide a los alumnos que reflexionen sobre las consecuencias o las implicaciones de los conceptos o hechos que han aprendido. Puedes utilizar preguntas, palabras o frases para ayudarlos a empezar a pensar. Algunas posibles preguntas pueden ser: """"¿Cuáles son las consecuencias de este fenómeno?"""", """"¿Qué implicaciones tiene este concepto para la vida diaria?"""", """"¿Cuáles serían las consecuencias a largo plazo de esta situación?"""", etc.

1. Proporciona apoyo y orientación a los alumnos mientras reflexionan sobre las consecuencias. Puedes ayudarlos a formular hipótesis o a buscar evidencias que les ayuden a hacerlo.

Parte del alumno:

1. Escucha atentamente la información o los conceptos que te proporciona el profesor.

1. Utiliza el pensamiento crítico y la reflexión para considerar las consecuencias o las implicaciones de los conceptos o hechos que has aprendido.

1. Formula hipótesis o busca evidencias para ayudar a desarrollar tus ideas sobre las consecuencias.

1. Comparte tus reflexiones con el grupo o con el profesor. Puedes hacerlo de forma oral o escrita, según las preferencias del profesor o del grupo.

1. Escucha las reflexiones de tus compañeros y compañeras y considera cómo estas afectan a tus propias ideas. Puedes realizar preguntas o comentarios para profundizar en las reflexiones de los demás.

1. Revisa y ajusta tus ideas sobre las consecuencias en función de las reflexiones de los otros alumnos y las evidencias que hayas encontrado.

Así pues, esta rutina implica una interacción entre el profesor y los alumnos, con los alumnos reflexionando sobre las consecuencias o las implicaciones de los conceptos o hechos que han aprendido y compartiendo sus reflexiones con el grupo o con el profesor.  Se puede utilizar esta rutina para hacer reflexionar a los alumnos sobre cualquier tipo de conceptos o hechos, y es especialmente útil para promover el pensamiento crítico y la reflexión sobre cuestiones complejas o problemas relevantes de la vida diaria.","consecuencias, pensamiento crítico, reflexión, evidencias, perspectiva","Procesamiento y Análisis de la información, Construcción de conocimiento, Pensamiento Crítico y Metacognición, Cohesión y Cooperación",,"Rutina en la que el alumnado analiza consecuencias o implicaciones de una situación, hecho o concepto. Sirve para desarrollar pensamiento crítico, anticipar efectos, justificar ideas y valorar problemas desde distintas perspectivas."
Role on the Wall (Silueta del personaje),"## Descripción
Técnica visual para analizar un personaje, grupo social, organismo, institución o concepto personificado. Se dibuja una silueta y se diferencian los aspectos internos y externos: lo que piensa o siente, y lo que hace o muestra.

## Funcionamiento
1. Se dibuja una silueta en papel o en una pizarra digital.
2. Dentro de la silueta se escriben pensamientos, emociones, motivaciones o conocimientos.
3. Fuera de la silueta se anotan acciones, comportamientos, relaciones o presiones externas.
4. El grupo justifica cada aportación con evidencias.
5. Se cierra con una síntesis del personaje, concepto o situación.

## Objetivos
- Analizar perspectivas y motivaciones.
- Relacionar evidencias con interpretaciones.
- Representar visualmente información compleja.

## Ejemplo
En literatura, los alumnos analizan un personaje de una novela. Dentro de la silueta escriben sus miedos y deseos; fuera, sus actos y cómo lo ven los demás personajes.","personaje, perspectiva, evidencias, análisis, representación visual","Pensamiento Crítico y Metacognición, Comunicación y Creatividad, Procesamiento y Análisis de la información",,"Técnica visual en la que se analiza un personaje o concepto mediante una silueta con aspectos internos y externos. Sirve para trabajar perspectiva, evidencias, interpretación y representación visual de información compleja."
RoundRobin,"Es como RallyRobin pero en grupos de cuatro. Se utiliza cuando las respuestas son más largas o las ideas son más complejas.

Se utiliza para actividades que se puedan realizar en tiempo corto, para responder a las preguntas en las que hay múltiples respuestas o donde sea necesario compartir una idea o una frase y en la que cada estudiante sea capaz de contribuir: Generar ideas (lluvia de ideas), Repasar, realizar listados de elementos, realizar listados de procedimientos.
En grupos, los estudiantes, comparten de forma oral.

1. El profesor propone un tema para el cual haya múltiples respuestas o soluciones y deja un tiempo para pensar individualmente.
1. Los estudiantes, por turnos, aportan alternativamente las respuestas verbalmente durante 30 segundos cada uno.

Durante esta estructura, cada uno de los estudiantes por turnos ofrece una respuesta para crear una lista oral y repiten las rondas. Cada estudiante ofrece diversas respuestas.

Fuentes:

- Clowes, G. (2011). The Essential 5: A Starting Point for Kagan Cooperative Learning
- Carolina, H. L. K., Tamara, O. L. M., & Wendy, S. (2016). Aprendizaje cooperativo en la universidad","lluvia de ideas, grupo, participación, comunicación, cooperación","Construcción de conocimiento, Pensamiento Crítico y Metacognición, Evaluación Formativa y Retroalimentación, Cohesión y Cooperación",,"Estructura cooperativa oral en grupo en la que los alumnos aportan respuestas por turnos. Sirve para generar ideas, repasar contenidos, asegurar participación equilibrada y compartir conocimientos de forma rápida."
Seguir la pista,"## Objetivo

Dar a conocer a las otras personas del grupo aspectos significativos de nuestra vida y hacerlo de una forma creativa y lúdica.

## Desarrollo

- El profesor o profesora escribe en la pizarra datos numéricos, palabras, símbolos..., es decir, pistas sobre aspectos personales que compartirá con el grupo. Por ejemplo:
  - Barcelona, dos, 1950, camarero, once, leer, 2, sinceridad, San Petersburgo...

- Los alumnos siguen las pistas y realizan preguntas cerradas para adivinar qué significado tienen. Por ejemplo:
  - ¿Eres de Barcelona?
  - ¿Tu equipo de fútbol preferido es el Barcelona?
  - ¿Estudiaste en Barcelona?
  - ¿Tienes familia viviendo en Barcelona?, etc.

- Cada estudiante prepara seis pistas sobre sí mismo y, en parejas, intentan descubrir su significado.

Conclusiones

En nuestra vida hay elementos significativos. Si se comparten se está reconociendo y valorando a las otras personas y también a nosotros mismos.

Fuente: ECO. (2007). Dinámicas para hacer grupo.","cohesión de grupo, conocimiento personal, preguntas, creatividad, parejas","Construcción de conocimiento, Cohesión y Cooperación",,"Dinámica de cohesión en la que el alumnado ofrece pistas personales para que otros descubran su significado. Sirve para favorecer el conocimiento mutuo, la creatividad, la escucha y la interacción en parejas o grupo."
Seminario socrático,"## Descripción
Técnica de diálogo estructurado en torno a un texto, una imagen, un problema o una cuestión abierta. El objetivo no es ganar un debate, sino construir comprensión mediante preguntas, escucha y argumentación.

## Funcionamiento
1. El profesor selecciona un material común: texto, caso, gráfico, noticia o dilema.
2. Los alumnos lo preparan previamente con anotaciones y preguntas.
3. Durante el seminario, se sientan en círculo y dialogan siguiendo normas de respeto y escucha.
4. Las intervenciones deben apoyarse en evidencias del material o en razonamientos claros.
5. Al final, se realiza una reflexión sobre el contenido y sobre la calidad del diálogo.

## Objetivos
- Mejorar la comprensión de textos o problemas complejos.
- Desarrollar argumentación y escucha activa.
- Fomentar preguntas abiertas y pensamiento crítico.

## Ejemplo
En filosofía o biología, el grupo analiza un texto sobre bioética. Los alumnos preparan preguntas y durante el seminario discuten qué criterios deberían guiar una decisión científica con implicaciones sociales.","diálogo, argumentación, escucha activa, pensamiento crítico, texto","Pensamiento Crítico y Metacognición, Comunicación y Creatividad, Procesamiento y Análisis de la información",,"Técnica de diálogo estructurado sobre un texto, imagen, problema o dilema. Sirve para construir comprensión, formular preguntas, escuchar activamente, argumentar con evidencias y reflexionar sobre la calidad del diálogo."
Situación problema,"- Se expone a los alumnos una situación problemática, que pone sobre la mesa algunos de los aspectos que se desarrollan en la unidad didáctica.
- Los alumnos, individualmente, dedican unos minutos a buscar una posible solución.
- Después, en grupo pequeño, discuten las diferentes soluciones y buscan una respuesta consensuada.
- El profesor elige al azar un miembro de cada grupo para que explique la o las soluciones que han manejado.

Consellos:

- Elegir una situación problema que tenga una conexión evidente con la vida cotidiana de los alumnos.
- Asegurarnos de que la situación problema supone un desafío para él.
- Pedirle que genere al menos dos respuestas diferentes.
- Asegurar que a veces tenga la oportunidad de realizar esta técnica con compañeros de nivel alto.

Fuente: CRA Los Olivos. (2017). Técnicas de aprendizaje cooperativo.

## Ejemplo
El profesor plantea la siguiente situación problemática: """"Vuestra escuela está situada en un barrio con una alta concentración de tráfico y contaminación. Muchos alumnos que viven en este barrio han empezado a quejarse de dolores de cabeza y problemas de concentración. ¿Cómo podríais mejorar la calidad del aire en vuestro barrio?"" ""

Cada estudiante dedica unos minutos a pensar en una posible solución a este problema y, después, se dividen en grupos pequeños. En estos grupos, discuten las diferentes soluciones y buscan una respuesta consensuada.

Finalmente, el profesor elige al azar un miembro de cada grupo para que explique la o las soluciones que han manejado. Algunas de las soluciones que pueden salir en esta técnica pueden ser: promover el uso del transporte público o bicicletas en vez de vehículos privados, mejorar la calidad de los filtros de los vehículos, promover campañas de concienciación sobre la contaminación, plantar árboles en el barrio para mejorar la calidad del aire, etc.","situación problema, resolución de problemas, consenso, pensamiento crítico, cooperación","Resolución de problemas y Retos, Pensamiento Crítico y Metacognición, Cohesión y Cooperación",,"Técnica en la que se plantea una situación problemática relacionada con una unidad y el alumnado propone soluciones. Sirve para activar pensamiento crítico, cooperación, consenso y aplicación de contenidos a problemas cercanos."
STAD (Student Teams Achievement Divisions),"## Descripción
Técnica desarrollada por Robert Slavin. Los estudiantes se dividen en equipos de 4-5 miembros heterogéneos. El objetivo es que todos los miembros del equipo aprendan el material.

## Funcionamiento
1. El profesor presenta el material.
2. El equipo trabaja conjuntamente para dominar el contenido, ayudándose mutuamente.
3. Cada alumno realiza una prueba individual.
4. El éxito del equipo se basa en la **mejora individual**: puntos por superar la propia media.

## Objetivos
Mejorar el rendimiento académico individual a través de la responsabilidad compartida.","equipos, mejora individual, responsabilidad, cooperación, evaluación","Evaluación Formativa y Retroalimentación, Cohesión y Cooperación",,"Técnica cooperativa en equipos heterogéneos donde el progreso individual contribuye al resultado del equipo. Sirve para mejorar rendimiento, responsabilidad compartida, ayuda mutua y motivación académica."
Talking Chips (Fichas de conversación),"## Descripción
Técnica para asegurar una participación equitativa en los debates en grupo.

## Funcionamiento
1. Cada alumno recibirá un número determinado de fichas (u objetos similares).
2. Para hablar, el alumno tiene que colocar una ficha en el centro de la mesa.
3. Una vez se han gastado las fichas, el alumno no puede volver a hablar hasta que todos los compañeros hayan utilizado todas sus fichas.
4. Se reinicia el proceso.

## Objetivos
Regular la participación, evitar que un alumno domine la conversación y animar a los más reservados a participar.","participación equitativa, debate, comunicación, cooperación, roles","Cohesión y Cooperación, Comunicación y Creatividad",,"Técnica que regula la participación en debates mediante fichas que cada alumno usa para intervenir. Sirve para evitar monopolios, animar a los más reservados y asegurar una comunicación equitativa."
TGT (Torneo de Juegos por Equipos),"## Descripción
Similar a STAD, pero sustituye las pruebas individuales por torneos semanales.

## Funcionamiento
1. Los alumnos se agrupan en equipos base heterogéneos para estudiar.
2. Para competir, se agrupan en **mesas de torneo** con alumnos de otros equipos que tienen un nivel de rendimiento similar.
3. Ganar puntos para su equipo base original compitiendo contra compañeros de nivel equiparable.

## Objetivos
Aumentar la motivación y asegurar que todos los alumnos (de nivel alto o bajo) tengan la misma oportunidad de éxito.","juego, torneo, motivación, cooperación, repaso","Resolución de problemas y Retos, Cohesión y Cooperación, Comunicación y Creatividad",,"Técnica cooperativa con torneos de juego entre alumnos de nivel similar que suman puntos para su equipo. Sirve para motivar, repasar contenidos y favorecer la cooperación mediante competición equilibrada."
Think-Pair-Share (Piensa-Pareja-Comparte),"## Descripción
Técnica cooperativa breve que combina reflexión individual, contraste por parejas y puesta en común. Es útil para activar conocimientos previos, preparar debates, comprobar la comprensión o generar respuestas antes de compartirlas con todo el grupo.

## Funcionamiento
1. El profesor plantea una pregunta, problema o situación.
2. Cada alumno piensa individualmente y anota su respuesta.
3. Los alumnos se agrupan por parejas y comparan sus ideas.
4. Cada pareja elabora una respuesta común o mejora las respuestas iniciales.
5. Algunas parejas comparten sus conclusiones con el grupo clase.

## Objetivos
- Favorecer la participación de todo el alumnado.
- Dar tiempo para pensar antes de hablar.
- Mejorar la calidad de las respuestas mediante el contraste entre iguales.

## Ejemplo
En biología, antes de explicar la selección natural, el profesor pregunta: **¿por qué algunas bacterias se vuelven resistentes a los antibióticos?** Cada alumno propone una explicación, después la compara con su pareja y finalmente se recogen varias respuestas para iniciar la explicación.","conocimientos previos, parejas, comunicación, pensamiento crítico, síntesis","Activación de conocimientos previos, Pensamiento Crítico y Metacognición, Cohesión y Cooperación, Comunicación y Creatividad",,"Técnica breve en la que el alumnado piensa individualmente, contrasta en pareja y comparte con el grupo. Sirve para activar ideas, mejorar respuestas, favorecer participación y preparar debates o explicaciones."
Ticket de salida (exit ticket),"Esta actividad permite conocer al profesor qué han aprendido los alumnos durante una sesión de clase. Se realiza antes de salir de clase.

Consiste en contestar unas preguntas de este estilo:

- Tres cosas que aprendiste.
- Dos dudas o preguntas que te quedaron.
- Una apreciación u opinión sobre la clase.

Hay muchas variaciones posibles, podéis ver más ejemplos en formato editable en Orientacionandujar. (2019). EXIT TICKET editables PARA EVALUAR EL PROCESO.","evaluación formativa, síntesis, dudas, feedback, cierre",Activación de conocimientos previos,,"Actividad de cierre en la que el alumnado responde brevemente qué aprendió, qué duda mantiene o cómo valora la sesión. Sirve para recoger evidencias rápidas, ajustar la enseñanza y favorecer la reflexión final."
